Date,Open,High,Low,Close,Adj Close,Volume
1998-01-01,13.296875,13.968750,13.234375,54.437500,6.265229,355600
1998-01-08,13.406250,13.531250,12.437500,53.187500,6.121364,644800
1998-01-15,13.281250,13.281250,12.812500,51.750000,5.955924,556800
1998-01-22,12.796875,13.718750,12.296875,53.250000,6.128562,1262400
1998-01-29,13.375000,13.750000,13.015625,54.375000,6.309240,721600
1998-02-05,13.718750,14.140625,13.593750,56.250000,6.526801,690800
1998-02-12,14.000000,14.687500,13.953125,57.500000,6.671841,504400
1998-02-19,14.375000,14.765625,14.234375,58.875000,6.831385,703200
1998-02-26,14.687500,14.843750,14.343750,57.750000,6.700848,408800
1998-03-05,14.375000,15.000000,14.343750,59.937500,6.954672,531600
1998-03-12,14.953125,15.406250,14.843750,61.375000,7.121466,768000
1998-03-19,15.328125,15.375000,15.000000,60.437500,7.012687,387200
1998-03-26,15.125000,15.140625,14.718750,59.125000,6.860393,296400
1998-04-02,14.843750,15.125000,14.531250,60.125000,6.976423,560800
1998-04-09,15.062500,16.093750,15.062500,63.187500,7.331774,524400
1998-04-16,15.531250,15.812500,15.156250,61.437500,7.128717,515200
1998-04-23,15.312500,15.312500,14.390625,58.687500,6.856453,714400
1998-04-30,14.812500,15.156250,14.546875,58.250000,6.805342,342800
1998-05-07,14.562500,15.125000,14.468750,59.687500,6.973282,400400
1998-05-14,14.812500,15.031250,14.562500,59.812500,6.987888,305600
1998-05-21,14.968750,15.625000,14.609375,59.437500,6.944075,620000
1998-05-28,14.921875,15.453125,14.812500,61.625000,7.199640,469200
1998-06-04,15.359375,15.453125,14.859375,59.625000,6.965983,521600
1998-06-11,14.906250,15.015625,14.515625,59.437500,6.944075,804400
1998-06-18,14.812500,14.812500,14.281250,58.000000,6.776132,473600
1998-06-25,14.625000,15.312500,14.625000,61.187500,7.148527,431200
1998-07-02,15.281250,15.562500,15.203125,61.562500,7.192339,309600
1998-07-09,15.375000,15.437500,15.109375,61.062500,7.133924,373200
1998-07-16,15.250000,15.265625,14.718750,59.187500,6.914869,1190400
1998-07-23,14.765625,14.765625,13.625000,55.000000,6.425642,584800
1998-07-30,13.765625,13.906250,12.890625,52.375000,6.166893,1549200
1998-08-06,13.031250,13.062500,11.500000,48.562500,5.717988,1541200
1998-08-13,12.125000,12.625000,11.734375,49.875000,5.872531,1537200
1998-08-20,12.343750,12.468750,10.171875,42.062500,4.952649,1578400
1998-08-27,10.187500,10.187500,9.250000,39.000000,4.592054,1974000
1998-09-03,9.750000,10.171875,9.531250,39.937500,4.702439,875200
1998-09-10,9.875000,11.359375,9.765625,43.625000,5.136626,1000400
1998-09-17,10.437500,11.046875,9.906250,44.187500,5.202857,780400
1998-09-24,11.062500,11.062500,10.046875,40.312500,4.746593,836400
1998-10-01,10.078125,10.296875,9.562500,41.000000,4.827544,1065600
1998-10-08,9.968750,10.843750,9.843750,42.812500,5.040958,593600
1998-10-15,10.640625,11.234375,10.421875,42.312500,4.982085,890400
1998-10-22,10.562500,11.156250,10.468750,44.250000,5.210215,507200
1998-10-29,11.031250,12.062500,10.953125,47.562500,5.661796,676400
1998-11-05,11.625000,11.656250,10.718750,43.500000,5.178201,595600
1998-11-12,10.843750,11.500000,10.562500,44.687500,5.319561,635600
1998-11-19,11.234375,13.000000,11.234375,50.187500,5.974275,868400
1998-11-26,12.531250,12.750000,12.140625,50.187500,5.974275,395600
1998-12-03,12.500000,12.687500,11.875000,48.812500,5.810596,373600
1998-12-10,12.156250,12.296875,11.562500,46.500000,5.535319,697600
1998-12-17,11.625000,12.312500,11.390625,48.937500,5.825478,622400
1998-12-24,12.281250,12.453125,12.015625,48.875000,5.818037,170000
1998-12-31,12.234375,13.281250,12.234375,52.937500,6.301631,304000
1999-01-07,13.187500,14.000000,12.734375,51.250000,6.100755,655600
1999-01-14,12.875000,13.062500,12.390625,51.312500,6.108196,472400
1999-01-21,12.765625,13.125000,12.187500,50.312500,5.989157,559200
1999-01-28,12.578125,13.234375,12.515625,52.625000,6.321100,643200
1999-02-04,13.218750,13.562500,12.531250,51.187500,6.148435,609600
1999-02-11,12.859375,13.046875,12.625000,51.000000,6.125912,392000
1999-02-18,12.875000,13.328125,12.593750,50.562500,6.073360,649600
1999-02-25,12.390625,12.390625,11.687500,46.875000,5.630435,530400
1999-03-04,11.750000,12.437500,11.515625,49.625000,5.960753,406000
1999-03-11,12.375000,12.390625,11.750000,47.187500,5.667968,346400
1999-03-18,11.765625,11.984375,11.359375,46.000000,5.525330,814000
1999-03-25,11.484375,11.921875,11.312500,47.187500,5.667968,497200
1999-04-01,11.812500,12.328125,11.812500,48.562500,5.833128,473200
1999-04-08,12.156250,13.312500,12.156250,50.500000,6.065852,714000
1999-04-15,12.687500,13.187500,12.546875,51.687500,6.208493,451200
1999-04-22,12.984375,13.015625,12.312500,49.750000,6.029625,450400
1999-04-29,12.500000,12.578125,12.062500,48.562500,5.885701,393200
1999-05-06,12.109375,12.250000,11.625000,48.437500,5.870551,402400
1999-05-13,12.125000,12.234375,11.140625,48.000000,5.817530,691200
1999-05-20,12.046875,12.093750,11.468750,46.375000,5.620581,272000
1999-05-27,11.531250,11.640625,11.312500,45.875000,5.559978,494400
1999-06-03,11.531250,11.703125,11.328125,46.750000,5.666029,384800
1999-06-10,11.625000,11.671875,11.125000,46.000000,5.575131,396400
1999-06-17,11.468750,11.562500,11.000000,44.250000,5.363031,430000
1999-06-24,11.015625,11.093750,10.640625,44.375000,5.378183,538800
1999-07-01,11.156250,12.250000,11.031250,48.000000,5.817530,565600
1999-07-08,11.875000,11.968750,11.703125,47.562500,5.764504,267600
1999-07-15,11.937500,11.937500,11.406250,46.250000,5.605430,429600
1999-07-22,11.453125,11.500000,10.921875,44.500000,5.393334,346800
1999-07-29,11.187500,11.187500,10.734375,43.625000,5.342732,268400
1999-08-05,10.968750,10.968750,10.062500,43.125000,5.281495,292400
1999-08-12,10.812500,11.500000,10.734375,44.625000,5.465201,227600
1999-08-19,11.093750,11.281250,10.906250,45.000000,5.511127,296400
1999-08-26,11.250000,11.250000,10.625000,43.062500,5.273841,172000
1999-09-02,10.703125,11.125000,10.671875,44.250000,5.419274,106800
1999-09-09,11.062500,11.140625,10.765625,43.437500,5.319770,103200
1999-09-16,10.828125,10.828125,10.437500,41.812500,5.120758,118000
1999-09-23,10.437500,10.437500,10.093750,41.625000,5.097793,577200
1999-09-30,10.421875,10.484375,10.265625,41.875000,5.128410,1094400
1999-10-07,10.484375,10.703125,10.140625,40.875000,5.005941,171200
1999-10-14,10.250000,10.515625,10.000000,42.062500,5.151374,374400
1999-10-21,10.375000,10.562500,10.281250,42.125000,5.159028,328400
1999-10-28,10.562500,10.890625,10.562500,42.562500,5.272780,218400
1999-11-04,10.687500,10.781250,10.500000,43.125000,5.342462,138000
1999-11-11,10.812500,11.734375,10.812500,45.437500,5.628945,433200
1999-11-18,11.312500,11.343750,10.843750,45.000000,5.574747,408800
1999-11-25,11.312500,11.609375,11.093750,45.125000,5.590228,444400
1999-12-02,11.296875,11.656250,11.250000,45.812500,5.675400,912000
1999-12-09,11.484375,11.515625,10.656250,43.250000,5.357950,137200
1999-12-16,10.828125,10.906250,10.687500,43.375000,5.373433,245200
1999-12-23,10.906250,11.218750,10.906250,44.437500,5.505061,227200
1999-12-30,11.109375,11.140625,10.531250,42.437500,5.257294,157600
2000-01-06,10.546875,10.750000,10.125000,40.750000,5.048240,187600
2000-01-13,10.250000,10.578125,10.062500,40.500000,5.017271,209200
2000-01-20,10.140625,10.171875,9.500000,40.687500,5.040498,241200
2000-01-27,10.250000,11.062500,10.062500,40.500000,5.085070,387200
2000-02-03,10.187500,10.359375,9.796875,41.000000,5.147850,229600
2000-02-10,10.187500,10.328125,9.984375,41.312500,5.187086,156000
2000-02-17,10.468750,10.500000,10.062500,40.875000,5.132154,158800
