Date,Open,High,Low,Close,Adj Close,Volume
1999-03-25,51.625000,53.093750,49.781250,99.937500,31.170506,21931000
1999-04-01,49.875000,54.812500,49.312500,108.562500,33.860653,18925600
1999-04-08,54.781250,58.468750,53.593750,109.750000,34.231037,21693800
1999-04-15,54.750000,54.937500,47.781250,102.125000,31.919880,25920000
1999-04-22,51.875000,53.000000,50.187500,102.375000,31.998024,12619600
1999-04-29,51.562500,53.312500,47.187500,99.187500,31.001747,34120000
1999-05-06,49.468750,53.562500,46.625000,106.812500,33.384998,26691200
1999-05-13,53.875000,54.812500,47.937500,99.000000,30.943150,25350000
1999-05-20,49.343750,49.968750,44.281250,93.625000,29.263144,25924000
1999-05-27,46.812500,48.281250,42.625000,88.250000,27.583151,22268400
1999-06-03,44.250000,47.375000,43.187500,91.500000,28.598963,22773200
1999-06-10,44.875000,47.093750,41.875000,93.062500,29.087328,18765800
1999-06-17,46.250000,50.125000,45.625000,93.250000,29.145931,25493800
1999-06-24,47.000000,51.875000,45.656250,102.625000,32.076164,30194200
1999-07-01,49.937500,51.875000,49.187500,102.375000,31.998024,15403600
1999-07-08,50.937500,52.593750,49.875000,101.000000,31.568251,14264400
1999-07-15,50.531250,51.562500,48.218750,96.812500,30.330797,14931000
1999-07-22,48.781250,49.875000,45.968750,96.062500,30.095827,14699600
1999-07-29,47.000000,47.187500,43.187500,86.687500,27.158688,19012800
1999-08-05,43.281250,43.875000,40.500000,86.500000,27.099947,27207200
1999-08-12,43.750000,47.906250,43.625000,95.000000,29.762947,15576200
1999-08-19,46.656250,49.125000,46.500000,97.625000,30.585344,16445200
1999-08-26,48.812500,49.250000,42.843750,89.500000,28.039829,21413600
1999-09-02,44.000000,47.062500,43.750000,92.625000,29.018875,16976800
1999-09-09,46.156250,46.718750,43.406250,86.875000,27.217422,16018600
1999-09-16,43.562500,46.218750,42.343750,89.562500,28.059406,19992400
1999-09-23,44.968750,45.031250,42.000000,87.437500,27.393650,23350800
1999-09-30,44.062500,48.750000,43.281250,97.375000,30.507021,24422000
1999-10-07,48.687500,49.187500,46.125000,92.375000,28.940546,16834600
1999-10-14,46.000000,48.125000,43.656250,94.937500,29.819336,20814000
1999-10-21,47.000000,52.500000,46.625000,104.187500,32.724712,26381200
1999-10-28,53.093750,57.625000,53.000000,108.875000,34.197048,31956600
1999-11-04,55.093750,58.687500,54.562500,110.187500,34.609287,18587000
1999-11-11,55.312500,63.750000,55.250000,121.437500,38.142834,24436600
1999-11-18,61.500000,62.500000,59.031250,118.625000,37.259464,15775600
1999-11-25,59.687500,60.781250,57.968750,119.937500,37.671722,11794400
1999-12-02,59.968750,67.250000,59.968750,132.437500,41.597904,21861400
1999-12-09,67.500000,67.750000,62.750000,126.359299,39.688766,17759400
1999-12-16,62.968750,66.312500,62.187500,129.875000,40.793026,20365600
